state_sigla,city,localizador,latitud,longitud
SP,jose bonifacio,"jose bonifacio SP, Brazil",-23.5641145,-46.43473669552859
SP,nova alianca,"nova alianca SP, Brazil",-21.0163728,-49.4981128
SP,nova itapirema,"nova itapirema SP, Brazil",-21.1015,-49.52234285714286
SP,mendonca,"mendonca SP, Brazil",-21.1838813,-49.579059
SP,ubarana,"ubarana SP, Brazil",-21.1637674,-49.7167796
SP,adolfo,"adolfo SP, Brazil",-21.2356597,-49.6441918
SP,nipoa,"nipoa SP, Brazil",-20.9126469,-49.7791476
SP,uniao paulista,"uniao paulista SP, Brazil",-20.8878168,-49.8986804
SP,planalto,"planalto SP, Brazil",-21.0342185,-49.928323
SP,zacarias,"zacarias SP, Brazil",-21.0523649,-50.0514502
SP,macaubal,"macaubal SP, Brazil",-20.8071616,-49.9648439
SP,moncoes,"moncoes SP, Brazil",-20.850949,-50.097537
SP,turiuba,"turiuba SP, Brazil",-20.9491284,-50.1082011
SP,lourdes,"lourdes SP, Brazil",-20.9672545,-50.224966
SP,buritama,"buritama SP, Brazil",-21.0664017,-50.1448077
SP,general salgado,"general salgado SP, Brazil",-20.6488139,-50.3608101
SP,magda,"magda SP, Brazil",-20.6444651,-50.2260983
SP,nova castilho,"nova castilho SP, Brazil",-20.7638386,-50.3427479
SP,sao joao de iracema,"sao joao de iracema SP, Brazil",-20.5134345,-50.352595
SP,floreal,"floreal SP, Brazil",-20.6767063,-50.1455638
SP,gastao vidigal,"gastao vidigal SP, Brazil",-20.7956829,-50.1907615
SP,nova luzitania,"nova luzitania SP, Brazil",-20.8558333,-50.2619444
SP,auriflama,"auriflama SP, Brazil",-20.6840418,-50.5554616
SP,guzolandia,"guzolandia SP, Brazil",-20.6491637,-50.6622974
SP,sud mennucci,"sud mennucci SP, Brazil",-20.6906175,-50.9240834
SP,bandeirantes d'oeste,"bandeirantes d'oeste SP, Brazil",-20.6012701,-50.82242972140995
SP,pereira barreto,"pereira barreto SP, Brazil",-20.6378509,-51.1052172
SP,suzanapolis,"suzanapolis SP, Brazil",-20.5011185,-51.0246771
