state_sigla,city,localizador,latitud
SP,palestina,"palestina SP, Brazil",-20.389344
SP,orindiuva,"orindiuva SP, Brazil",-20.1819444
SP,paulo de faria,"paulo de faria SP, Brazil",-20.029593
SP,riolandia,"riolandia SP, Brazil",-19.980944
SP,votuporanga,"votuporanga SP, Brazil",-20.4252908
SP,valentim gentil,"valentim gentil SP, Brazil",-20.4226107
SP,parisi,"parisi SP, Brazil",-20.3039424
SP,cosmorama,"cosmorama SP, Brazil",-20.4801328
SP,alvares florence,"alvares florence SP, Brazil",-20.3205523
SP,boa vista dos andradas,"boa vista dos andradas SP, Brazil",-20.22975325
SP,americo de campos,"americo de campos SP, Brazil",-20.298476
SP,pontes gestal,"pontes gestal SP, Brazil",-20.1833464
SP,cardoso,"cardoso SP, Brazil",-20.080447
SP,mira estrela,"mira estrela SP, Brazil",-19.9806298
SP,fernandopolis,"fernandopolis SP, Brazil",-20.2825647
SP,fernandópolis,"fernandópolis SP, Brazil",-20.2825647
SP,brasitânia,"brasitânia SP, Brazil",-20.137500000000003
SP,brasitania,"brasitania SP, Brazil",-20.137500000000003
SP,macedonia,"macedonia SP, Brazil",-20.1454034
SP,meridiano,"meridiano SP, Brazil",-20.3547223
SP,pedranopolis,"pedranopolis SP, Brazil",-20.249177
SP,sao joao das duas pontes,"sao joao das duas pontes SP, Brazil",-20.3878223
SP,estrela d oeste,"estrela d oeste SP, Brazil",-20.2860692
SP,populina,"populina SP, Brazil",-19.9427771
SP,guarani d'oeste,"guarani d'oeste SP, Brazil",-20.0737613
SP,ouroeste,"ouroeste SP, Brazil",-20.0013584
SP,indiapora,"indiapora SP, Brazil",-19.9802644
SP,jales,"jales SP, Brazil",-20.2671767
SP,sao francisco,"sao francisco SP, Brazil",-20.3604438
SP,vitoria brasil,"vitoria brasil SP, Brazil",-20.1978821
SP,dirce reis,"dirce reis SP, Brazil",-20.4664067
SP,pontalinda,"pontalinda SP, Brazil",-20.44071
SP,palmeira d oeste,"palmeira d oeste SP, Brazil",-20.4168187
SP,marinopolis,"marinopolis SP, Brazil",-20.4408333
SP,aparecida d oeste,"aparecida d oeste SP, Brazil",-20.4498109
SP,dolcinopolis,"dolcinopolis SP, Brazil",-20.1230736
SP,paranapua,"paranapua SP, Brazil",-20.1033995
SP,mesopolis,"mesopolis SP, Brazil",-19.9662274
SP,santa albertina,"santa albertina SP, Brazil",-20.0323485
SP,turmalina,"turmalina SP, Brazil",-20.0530658
SP,urania,"urania SP, Brazil",-20.244491
SP,aspasia,"aspasia SP, Brazil",-20.1596604
SP,santana da ponte pensa,"santana da ponte pensa SP, Brazil",-20.2543758
SP,santa salete,"santa salete SP, Brazil",-20.2451795
SP,tres fronteiras,"tres fronteiras SP, Brazil",-20.234355
SP,nova canaa paulista,"nova canaa paulista SP, Brazil",-20.3872473
SP,santa fe do sul,"santa fe do sul SP, Brazil",-20.2106188
SP,santa rita d oeste,"santa rita d oeste SP, Brazil",-20.1448079
SP,santa clara d oeste,"santa clara d oeste SP, Brazil",-20.0938889
SP,rubineia,"rubineia SP, Brazil",-20.1718325
SP,catanduva,"catanduva SP, Brazil",-21.1331035
SP,pirangi,"pirangi SP, Brazil",-21.0969623
SP,elisiario,"elisiario SP, Brazil",-21.1673392
SP,paraiso,"paraiso SP, Brazil",-21.015911
SP,palmares paulista,"palmares paulista SP, Brazil",-21.085369
SP,pindorama,"pindorama SP, Brazil",-21.1853
SP,roberto,"roberto SP, Brazil",-21.2595294
SP,itajobi,"itajobi SP, Brazil",-21.312294
SP,marapoama,"marapoama SP, Brazil",-21.2574769
SP,urupes,"urupes SP, Brazil",-21.2027026
SP,sao joao de itaguacu,"sao joao de itaguacu SP, Brazil",-21.1955324
SP,ibira,"ibira SP, Brazil",-21.0815104
SP,termas de ibira,"termas de ibira SP, Brazil",-21.1271157
SP,catigua,"catigua SP, Brazil",-21.0491485
SP,tabapua,"tabapua SP, Brazil",-20.9648397
SP,novais,"novais SP, Brazil",-20.9941576
SP,uchoa,"uchoa SP, Brazil",-20.951106
SP,cedral,"cedral SP, Brazil",-20.9028433
SP,taquaritinga,"taquaritinga SP, Brazil",-21.407486
SP,guariroba,"guariroba SP, Brazil",-21.4742
SP,jurupema,"jurupema SP, Brazil",-21.39025885
SP,monte alto,"monte alto SP, Brazil",-21.265545
SP,aparecida de monte alto,"aparecida de monte alto SP, Brazil",-21.22708195
SP,vista alegre do alto,"vista alegre do alto SP, Brazil",-21.171293
