zip_code_prefix,region_name,id_state,state_sigla,state_name,city,localizador,latitud,longitud
13760,Sudeste,35,SP,São Paulo,tapiratiba,"tapiratiba SP, Brazil",-21.46824,-46.7493221
13770,Sudeste,35,SP,São Paulo,caconde,"caconde SP, Brazil",-21.5281123,-46.6434015
13780,Sudeste,35,SP,São Paulo,divinolandia,"divinolandia SP, Brazil",-21.6604584,-46.7371151
13790,Sudeste,35,SP,São Paulo,sao sebastiao da grama,"sao sebastiao da grama SP, Brazil",-21.7118854,-46.8284162
13800,Sudeste,35,SP,São Paulo,mogi mirim,"mogi mirim SP, Brazil",-22.433123,-46.958246
13820,Sudeste,35,SP,São Paulo,jaguariuna,"jaguariuna SP, Brazil",-22.70374,-46.985062
13825,Sudeste,35,SP,São Paulo,holambra,"holambra SP, Brazil",-22.6332028,-47.0545305
13830,Sudeste,35,SP,São Paulo,santo antonio de posse,"santo antonio de posse SP, Brazil",-22.6054087,-46.9210727
13835,Sudeste,35,SP,São Paulo,conchal,"conchal SP, Brazil",-22.337512,-47.172927
13840,Sudeste,35,SP,São Paulo,mogi guacu,"mogi guacu SP, Brazil",-22.372222,-46.9425
13855,Sudeste,35,SP,São Paulo,martinho prado junior,"martinho prado junior SP, Brazil",-22.234979600000003,-47.17493598177646
13857,Sudeste,35,SP,São Paulo,estiva gerbi,"estiva gerbi SP, Brazil",-22.2742719,-46.9523302
13860,Sudeste,35,SP,São Paulo,aguai,"aguai SP, Brazil",-22.0592036,-46.979384
13870,Sudeste,35,SP,São Paulo,sao joao da boa vista,"sao joao da boa vista SP, Brazil",-21.9778137,-46.7881722
13880,Sudeste,35,SP,São Paulo,vargem grande do sul,"vargem grande do sul SP, Brazil",-21.832194,-46.891286
13890,Sudeste,35,SP,São Paulo,aguas da prata,"aguas da prata SP, Brazil",-21.9464285,-46.7192121
13895,Sudeste,35,SP,São Paulo,sao roque da fartura,"sao roque da fartura SP, Brazil",-21.84769445,-46.718023310491176
13900,Sudeste,35,SP,São Paulo,amparo,"amparo SP, Brazil",-22.70111,-46.76444
13920,Sudeste,35,SP,São Paulo,pedreira,"pedreira SP, Brazil",-22.741347,-46.894846
13930,Sudeste,35,SP,São Paulo,serra negra,"serra negra SP, Brazil",-22.61222,-46.70056
13940,Sudeste,35,SP,São Paulo,aguas de lindoia,"aguas de lindoia SP, Brazil",-22.4718855,-46.6291034
13950,Sudeste,35,SP,São Paulo,lindoia,"lindoia SP, Brazil",-22.523056,-46.65
13960,Sudeste,35,SP,São Paulo,socorro,"socorro SP, Brazil",-22.5902619,-46.5249112
13970,Sudeste,35,SP,São Paulo,itapira,"itapira SP, Brazil",-22.436111,-46.821667
13986,Sudeste,35,SP,São Paulo,barao ataliba nogueira,"barao ataliba nogueira SP, Brazil",-22.38608445,-46.7189683825
13988,Sudeste,35,SP,São Paulo,eleuterio,"eleuterio SP, Brazil",-22.33300375,-46.725303325948275
13990,Sudeste,35,SP,São Paulo,espirito santo do pinhal,"espirito santo do pinhal SP, Brazil",-22.190871,-46.74767
13995,Sudeste,35,SP,São Paulo,santo antonio do jardim,"santo antonio do jardim SP, Brazil",-22.1158536,-46.6839541
14001,Sudeste,35,SP,São Paulo,ribeirão preto,"ribeirão preto SP, Brazil",-21.178333,-47.8066671
14110,Sudeste,35,SP,São Paulo,bonfim paulista,"bonfim paulista SP, Brazil",-21.2639857,-47.8168874
14115,Sudeste,35,SP,São Paulo,guatapara,"guatapara SP, Brazil",-21.496092,-48.0360685
14120,Sudeste,35,SP,São Paulo,dumont,"dumont SP, Brazil",-21.2391417,-47.9747665
14140,Sudeste,35,SP,São Paulo,cravinhos,"cravinhos SP, Brazil",-21.340278,-47.729444
14150,Sudeste,35,SP,São Paulo,serrana,"serrana SP, Brazil",-21.2066883,-47.6053774
14160,Sudeste,35,SP,São Paulo,sertaozinho,"sertaozinho SP, Brazil",-21.1614356,-47.9720115
14180,Sudeste,35,SP,São Paulo,pontal,"pontal SP, Brazil",-21.0239714,-48.0393457
14185,Sudeste,35,SP,São Paulo,candia,"candia SP, Brazil",-20.9297062,-48.00921787315389
14200,Sudeste,35,SP,São Paulo,sao simao,"sao simao SP, Brazil",-21.4800208,-47.5531095
14210,Sudeste,35,SP,São Paulo,luis antonio,"luis antonio SP, Brazil",-21.55,-47.78008333333334
14230,Sudeste,35,SP,São Paulo,serra azul,"serra azul SP, Brazil",-21.3132591,-47.5635821
14240,Sudeste,35,SP,São Paulo,cajuru,"cajuru SP, Brazil",-21.2759978,-47.3046035
14250,Sudeste,35,SP,São Paulo,santa cruz da esperanca,"santa cruz da esperanca SP, Brazil",-21.2918648,-47.4309885
14260,Sudeste,35,SP,São Paulo,cassia dos coqueiros,"cassia dos coqueiros SP, Brazil",-21.280082,-47.164327
14270,Sudeste,35,SP,São Paulo,santa rosa de viterbo,"santa rosa de viterbo SP, Brazil",-21.4869452,-47.3654908
14300,Sudeste,35,SP,São Paulo,batatais,"batatais SP, Brazil",-20.892867,-47.592149
14340,Sudeste,35,SP,São Paulo,brodowski,"brodowski SP, Brazil",-20.984532,-47.657217
14350,Sudeste,35,SP,São Paulo,altinopolis,"altinopolis SP, Brazil",-21.021364,-47.3712
14390,Sudeste,35,SP,São Paulo,santo antonio da alegria,"santo antonio da alegria SP, Brazil",-21.0893048,-47.1523426
14400,Sudeste,35,SP,São Paulo,franca,"franca SP, Brazil",-20.5296618,-47.4699819
14415,Sudeste,35,SP,São Paulo,patrocinio paulista,"patrocinio paulista SP, Brazil",-20.6383609,-47.2801241
14420,Sudeste,35,SP,São Paulo,itirapua,"itirapua SP, Brazil",-20.6406814,-47.2193817
14430,Sudeste,35,SP,São Paulo,restinga,"restinga SP, Brazil",-20.605593,-47.483254
14440,Sudeste,35,SP,São Paulo,sao jose da bela vista,"sao jose da bela vista SP, Brazil",-20.5934194,-47.6416942
14445,Sudeste,35,SP,São Paulo,ribeirao corrente,"ribeirao corrente SP, Brazil",-20.457872,-47.590394
14450,Sudeste,35,SP,São Paulo,jeriquara,"jeriquara SP, Brazil",-20.3104773,-47.5915669
14460,Sudeste,35,SP,São Paulo,cristais paulista,"cristais paulista SP, Brazil",-20.403569,-47.420915
14470,Sudeste,35,SP,São Paulo,pedregulho,"pedregulho SP, Brazil",-20.25071,-47.4808786
14490,Sudeste,35,SP,São Paulo,rifaina,"rifaina SP, Brazil",-20.080256,-47.429109
14500,Sudeste,35,SP,São Paulo,ituverava,"ituverava SP, Brazil",-20.3366604,-47.7797924
